,videoId,title,publishedAt,Link,Brand,Make,Phone,viewCount,likeCount,favoriteCount,commentCount,OS
0,4JEZ2rrf2N4,Samsung Galaxy SIII Review!,26/06/2012,https://www.youtube.com/watch?v=4JEZ2rrf2N4&ab_channel=MarquesBrownlee,Samsung,s3,Samsung s3,576230,10116,0,2560,Android
1,wXmzpFoHkfA,Samsung Galaxy S4 Review!,01/05/2013,https://www.youtube.com/watch?v=wXmzpFoHkfA&ab_channel=MarquesBrownlee,Samsung,s4,Samsung s4,1843596,20410,0,3405,Android
2,z8gOX35dAfc,Samsung Galaxy S5 Review!,16/04/2014,https://www.youtube.com/watch?v=z8gOX35dAfc&ab_channel=MarquesBrownlee,Samsung,s5,Samsung s5,2064137,32116,0,5275,Android
3,1sgeM6DsV40,Samsung Galaxy S7 Review!,17/03/2016,https://www.youtube.com/watch?v=1sgeM6DsV40&ab_channel=MarquesBrownlee,Samsung,s7,Samsung s7,5544810,99899,0,9442,Android
4,nNlTNE1y9DM,Samsung Galaxy S8 Review: The Ultimate Smartphone?,18/04/2017,https://www.youtube.com/watch?v=nNlTNE1y9DM&ab_channel=MarquesBrownlee,Samsung,s8,Samsung s8,5451006,113557,0,12124,Android
5,Gzy_nCkn88U,Samsung Galaxy S9 Review: The Perfect... Samsung!,20/03/2018,https://www.youtube.com/watch?v=Gzy_nCkn88U&ab_channel=MarquesBrownlee,Samsung,s9,Samsung s9,9150878,150711,0,14151,Android
6,tn2AgrwXpNQ,Samsung Galaxy S21 Ultra Review: Problems Solved!,21/01/2021,https://www.youtube.com/watch?v=tn2AgrwXpNQ&t=26s&ab_channel=MarquesBrownlee,Samsung,s21 Ultra,Samsung s21 Ultra,6543704,195670,0,12092,Android
7,vXIAB_1FEC0,Galaxy S22 Ultra Review: Separating from the Pack!,22/02/2022,https://www.youtube.com/watch?v=vXIAB_1FEC0&t=2s&ab_channel=MarquesBrownlee,Samsung,s22 Ultra,Samsung s22 Ultra,5760995,157038,0,6930,Android
8,zhoTX0RRXPQ,The Galaxy S23 Ultra is Better Than You Think!,11/02/2023,https://www.youtube.com/watch?v=zhoTX0RRXPQ&ab_channel=MarquesBrownlee,Samsung,s23 Ultra,Samsung s23 Ultra,5744021,179756,0,9759,Android
9,uBEaG6n0XDs,Apple iPhone 5s Review!,12/10/2013,https://www.youtube.com/watch?v=uBEaG6n0XDs&ab_channel=MarquesBrownlee,iPhone,5s,iPhone 5s,10595961,150117,0,20635,iPhone
10,61TAqY03xwk,Apple iPhone 6 Review!,09/10/2014,https://www.youtube.com/watch?v=61TAqY03xwk&ab_channel=MarquesBrownlee,iPhone,6,iPhone 6,7701588,82118,0,9915,iPhone
11,0Ae0YwmgYTY,The iPhone 7 Plus Model!,12/08/2016,https://www.youtube.com/watch?v=0Ae0YwmgYTY&ab_channel=MarquesBrownlee,iPhone,7 Plus,iPhone 7 Plus,1425811,29486,0,3363,iPhone
12,ld5H2L4j6LE,iPhone 8 Review: Skip this Great Phone!,30/09/2017,https://www.youtube.com/watch?v=ld5H2L4j6LE&ab_channel=MarquesBrownlee,iPhone,8,iPhone 8,5242280,106930,0,8772,iPhone
13,9Ca8zWJOlFQ,Apple iPhone X Review: The Best Yet!,15/11/2017,https://www.youtube.com/watch?v=9Ca8zWJOlFQ&ab_channel=MarquesBrownlee,iPhone,x,iPhone x,8100018,175583,0,15681,iPhone
14,DyX-QZZBgpw,iPhone 11 Pro Review: For the Love of Cameras!,20/09/2019,https://www.youtube.com/watch?v=DyX-QZZBgpw&ab_channel=MarquesBrownlee,iPhone,11 Pro,iPhone 11 Pro,9077362,194567,0,16164,iPhone
15,TnkdoEZhTbc,iPhone 13 Pro Review: Better Than You Think!,02/10/2021,https://www.youtube.com/watch?v=TnkdoEZhTbc&ab_channel=MarquesBrownlee,iPhone,13 Pro,iPhone 13 Pro,9414528,232620,0,12470,iPhone
16,SdLShOCvVeM,iPhone 14 Pro Review: This Will Be Copied!,14/09/2022,https://www.youtube.com/watch?v=SdLShOCvVeM&ab_channel=MarquesBrownlee,iPhone,14 Pro,iPhone 14 Pro,12425252,347661,0,18895,iPhone
17,0X0Jm8QValY,iPhone 15 Review: Welcome to the Club!,02/10/2023,https://www.youtube.com/watch?v=0X0Jm8QValY&ab_channel=MarquesBrownlee,iPhone,15 Pro,iPhone 15 Pro,3566690,115133,0,8038,iPhone
18,mfbSqTB74xM,Google Pixel 4 Review: Inside the Hype Machine!,22/10/2019,https://www.youtube.com/watch?v=mfbSqTB74xM&ab_channel=MarquesBrownlee,Pixel,4,Pixel 4,5739414,119212,0,11197,Android
19,NBLO6RpofIU,Google Pixel 5 Review: Software Special!,23/10/2020,https://www.youtube.com/watch?v=NBLO6RpofIU&ab_channel=MarquesBrownlee,Pixel,5,Pixel 5,4650292,148361,0,8442,Android
20,9hvjBi4PKWA,Pixel 6/6 Pro Review: Almost Incredible!,27/10/2021,https://www.youtube.com/watch?v=9hvjBi4PKWA&ab_channel=MarquesBrownlee,Pixel,6 Pro,Pixel 6 Pro,7827735,241442,0,15000,Android
21,NE5H5intsck,Google Pixel 7/Pro Review: Hard Problems? Software Answers!,12/10/2022,https://www.youtube.com/watch?v=NE5H5intsck&ab_channel=MarquesBrownlee,Pixel,7 Pro,Pixel 7 Pro,4622443,149109,0,6518,Android
22,BS8x2TicxQ8,Google Pixel 8/8 Pro Review: We'll Fix It In Post!,11/10/2023,https://www.youtube.com/watch?v=BS8x2TicxQ8&ab_channel=MarquesBrownlee,Pixel,8 Pro,Pixel 8 Pro,3159879,115188,0,5459,Android
23,ySMGudnpdXQ,Asus ZenFone 6: Swivel Camera Magic!,29/05/2019,https://www.youtube.com/watch?v=ySMGudnpdXQ&ab_channel=MarquesBrownlee,Asus,ZenFone 6,Asus ZenFone 6,2843643,75034,0,5801,Android
24,AxV0_1Y4zl0,Asus Zenfone 9: The New Compact King!,01/08/2022,https://www.youtube.com/watch?v=AxV0_1Y4zl0&ab_channel=MarquesBrownlee,Asus,ZenFone 9,Asus ZenFone 9,3827369,142043,0,7513,Android
25,6pf2KJD5qf0,ROG Phone 5 Ultimate Review: The Most Ridiculous Custom!,10/03/2021,https://www.youtube.com/watch?v=6pf2KJD5qf0&ab_channel=MarquesBrownlee,Asus,ROG Phone 5,Asus ROG Phone 5,2835073,119914,0,8337,Android
26,OkLOJapGjC4,The ROG Phone 7 Ultimate is Just Ridiculous!,13/04/2023,https://www.youtube.com/watch?v=OkLOJapGjC4&ab_channel=MarquesBrownlee,Asus,ROG Phone 7,Asus ROG Phone 7,2202284,77034,0,4018,Android
27,IEwEDTmqCEs,Asus ROG Phone 3 Review: The Spec King Returns!,22/07/2020,https://www.youtube.com/watch?v=IEwEDTmqCEs&ab_channel=MarquesBrownlee,Asus,ROG Phone 3,Asus ROG Phone 3,3533106,119816,0,9000,Android
28,FrgGHAab9D8,OnePlus One Review!,20/05/2014,https://www.youtube.com/watch?v=FrgGHAab9D8&ab_channel=MarquesBrownlee,OnePlus,OnePlus 1,OnePlus OnePlus 1,3303325,64114,0,7520,Android
29,s8Un0XB_8xk,OnePlus 2 Review!,29/08/2015,https://www.youtube.com/watch?v=s8Un0XB_8xk&ab_channel=MarquesBrownlee,OnePlus,OnePlus 2,OnePlus OnePlus 2,3363906,52219,0,5658,Android
30,0f_BTRPUr6k,OnePlus 3T Review: T is the new S!,21/11/2016,https://www.youtube.com/watch?v=0f_BTRPUr6k&ab_channel=MarquesBrownlee,OnePlus,OnePlus 3T,OnePlus OnePlus 3T,2450031,59290,0,4770,Android
31,2w5B1Ne-fy4,OnePlus 5 Review!,20/06/2017,https://www.youtube.com/watch?v=2w5B1Ne-fy4&ab_channel=MarquesBrownlee,OnePlus,OnePlus 5,OnePlus OnePlus 5,6355641,106875,0,11317,Android
32,_6-XjSvbJsE,"OnePlus 6T Review: New Design, Same Price!",29/10/2018,https://www.youtube.com/watch?v=_6-XjSvbJsE&ab_channel=MarquesBrownlee,OnePlus,OnePlus 6T,OnePlus OnePlus 6T,7405692,144062,0,15588,Android
33,XRiUNPf-_-4,"OnePlus 7T Review: High Refresh, Low Price!",26/09/2019,https://www.youtube.com/watch?v=XRiUNPf-_-4&ab_channel=MarquesBrownlee,OnePlus,OnePlus 7T,OnePlus OnePlus 7T,3638627,93440,0,6875,Android
34,7IaYSxDp88s,OnePlus 10 Pro Impressions: What Happened?,28/01/2022,https://www.youtube.com/watch?v=7IaYSxDp88s&ab_channel=MarquesBrownlee,OnePlus,OnePlus 10 Pro,OnePlus OnePlus 10 Pro,4180259,118320,0,8975,Android
35,3yEP4ooj1WI,OnePlus 11 Review: They're Back?!,07/02/2023,https://www.youtube.com/watch?v=3yEP4ooj1WI&ab_channel=MarquesBrownlee,OnePlus,OnePlus 11,OnePlus OnePlus 11,3808800,121810,0,7356,Android
